 Date,SPX Open,SPX Low,SPX High,SPX Close,SPX Adj. Close
11/4/2014,"2,015.81","2,001.01","2,015.98","2,012.10","2,012.10"
11/3/2014,"2,018.21","2,013.68","2,024.46","2,017.81","2,017.81"
10/31/2014,"2,001.20","2,001.20","2,018.19","2,018.05","2,018.05"
10/30/2014,"1,979.49","1,974.75","1,999.40","1,994.65","1,994.65"
10/29/2014,"1,983.29","1,969.04","1,991.40","1,982.30","1,982.30"
10/28/2014,"1,964.14","1,964.14","1,985.05","1,985.05","1,985.05"
10/27/2014,"1,962.97","1,951.37","1,964.64","1,961.63","1,961.63"
10/24/2014,"1,951.59","1,946.27","1,965.27","1,964.58","1,964.58"
10/23/2014,"1,931.02","1,931.02","1,961.95","1,950.82","1,950.82"
10/22/2014,"1,941.29","1,926.83","1,949.31","1,927.11","1,927.11"
10/21/2014,"1,909.38","1,909.38","1,942.45","1,941.28","1,941.28"
10/20/2014,"1,885.62","1,882.30","1,905.03","1,904.01","1,904.01"
10/17/2014,"1,864.91","1,864.91","1,898.16","1,886.76","1,886.76"
10/16/2014,"1,855.95","1,835.02","1,876.01","1,862.76","1,862.76"
10/15/2014,"1,874.18","1,820.66","1,874.18","1,862.49","1,862.49"
10/14/2014,"1,877.11","1,871.79","1,898.71","1,877.70","1,877.70"
10/13/2014,"1,905.65","1,874.14","1,912.09","1,874.74","1,874.74"
10/10/2014,"1,925.63","1,906.05","1,936.98","1,906.13","1,906.13"
10/9/2014,"1,967.68","1,927.56","1,967.68","1,928.21","1,928.21"
10/8/2014,"1,935.55","1,925.25","1,970.36","1,968.89","1,968.89"
